Articulo,Cantidad,Precio Unitario,Fecha Registro,Status
"Laptop Dell 15""",10,$9999.99 MXN,01/01/2018,Activo
Monitor HP,0,$1599.99 MXN,31/12/2018,Inactivo
Silla Oficina Ejecutiva,3,$1999.99 MXN,01/08/2017,Activo
"Laptop Dell 12""",10,$8999.99 MXN,01/01/2018,Activo
Torre DVD Sony,25,$125.00 MXN,31/12/2017,Activo
"Laptop Dell 15""",10,$9999.99 MXN,01/01/2018,Activo
Mónitor HP,0,$1599.99 MXN,31/12/2018,Inactivo
Silla Oficina Ejecutiva,3,$1999.99 MXN,01/08/2017,Activo
"Laptop Dell 12""",10,$8999.99 MXN,01/01/2018,Activo
Torre DVD Sony,25,$125.00 MXN,31/12/2017,Activo
